country,cidr
DM,23.186.240.0/23
DM,45.9.144.0/21
DM,66.118.32.0/21
DM,69.12.104.0/21
DM,104.153.248.0/21
DM,104.245.200.0/21
DM,162.213.168.0/21
DM,162.253.96.0/21
DM,192.243.32.0/19
DM,193.169.160.0/22
DM,198.101.24.0/21
DM,199.127.192.0/21
DM,206.53.140.0/23
DM,216.162.200.0/23
