country,cidr
GP,5.187.64.0/18
GP,46.238.128.0/17
GP,93.121.0.0/16
GP,95.138.0.0/16
GP,104.250.0.0/18
GP,107.191.192.0/19
GP,185.29.48.0/21
GP,193.218.114.0/23
GP,199.91.160.0/21
GP,207.90.252.0/22
GP,208.72.224.0/21
GP,208.79.96.0/21
GP,208.94.168.0/21
GP,213.16.0.0/18
GP,213.188.128.0/18
